City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,grafton,42.207,-71.6856,11.22,91,100,2.57,US,1697090084
322,redencao,-4.2258,-38.7306,23.43,91,41,1.79,BR,1697090168
323,tsiombe,-25.3,45.4833,24.79,61,93,6.16,MG,1697090071
324,novyy urengoy,66.0833,76.6333,1.55,83,100,2.57,RU,1697090169
325,bubaque,11.2833,-15.8333,27.48,82,97,3.76,GW,1697090043
326,naze,28.3667,129.4833,25.51,60,9,8.04,JP,1697090169
327,usogorsk,63.4106,48.6872,-0.74,85,100,6.01,RU,1697090169
328,williams lake,52.1415,-122.1445,9.76,61,0,1.03,CA,1697089972
329,nova sintra,14.8667,-24.7167,23.95,72,94,6.4,CV,1697090103
330,tindouf,27.6711,-8.1474,19.25,27,0,2.06,DZ,1697090170
331,zhenzhou,32.2692,119.1789,23.4,47,11,2.75,CN,1697090170
332,torghay,49.6339,63.4981,9.76,40,99,4.55,KZ,1697090170
333,vila franca do campo,37.7167,-25.4333,20.23,99,54,4.02,PT,1697090170
334,dunda,-8.1167,34.25,25.38,41,97,1.67,TZ,1697090170
335,lompoc,34.6391,-120.4579,17.66,82,0,12.96,US,1697090171
336,fortuna,40.5982,-124.1573,10.51,95,0,0.0,US,1697090171
337,pitimbu,-7.4706,-34.8086,24.33,84,11,4.05,BR,1697090171
338,pachino,36.7186,15.0907,22.24,60,1,1.08,IT,1697090171
339,plettenberg bay,-34.0527,23.3716,16.48,85,90,3.6,ZA,1697090171
340,karaton,-6.3424,106.1045,32.15,52,80,3.5,ID,1697090172
341,kissidougou,9.1848,-10.0999,20.23,98,100,1.06,GN,1697090172
342,gisborne,-38.6533,178.0042,12.82,68,5,2.39,NZ,1697090172
343,ironwood,46.4547,-90.171,3.19,100,0,0.0,US,1697090172
344,eyl,7.9803,49.8164,29.02,67,61,2.99,SO,1697090172
345,summerville,33.0185,-80.1757,18.32,95,100,2.06,US,1697090173
346,ndele,8.4109,20.6473,23.33,89,99,1.85,CF,1697090173
347,toliara,-23.35,43.6667,29.11,48,79,3.97,MG,1697090173
348,praia da vitoria,38.7333,-27.0667,18.2,94,20,4.0,PT,1697090085
349,gornji vakuf,43.9381,17.5883,14.36,67,4,1.98,BA,1697090173
350,weno,7.4515,151.8468,31.97,70,40,2.57,FM,1697090173
351,grand-lahou,5.1367,-5.0242,24.37,93,95,2.62,CI,1697090174
352,bonny,4.4522,7.1681,25.77,87,100,1.56,NG,1697090174
353,taulaga,-11.0553,-171.0883,28.11,81,20,7.21,AS,1697090174
354,rurrenabaque,-14.4413,-67.5278,25.87,60,58,0.58,BO,1697090174
355,tashla,51.7716,52.7427,5.74,57,22,4.94,RU,1697090174
356,luau,-10.7073,22.2247,24.3,58,79,2.8,AO,1697090174
357,tual,-5.6667,132.75,26.77,82,65,6.77,ID,1697090175
358,polyarnyy,69.1989,33.4478,2.33,97,99,13.29,RU,1697090175
359,dakhla,23.6848,-15.958,22.89,57,0,5.28,EH,1697090175
360,kerikeri,-35.2268,173.9474,14.95,73,8,0.89,NZ,1697090175
361,wad az zaki,14.4619,32.2065,31.22,38,7,4.31,SD,1697090176
362,kirando,-7.4167,30.6,26.84,60,95,2.78,TZ,1697090176
363,kimbe,-5.5502,150.1429,30.03,68,47,2.4,PG,1697090176
364,richards bay,-28.783,32.0377,24.28,72,100,0.21,ZA,1697090176
